,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
267,PRIM,56,09/19/2008,06/29/2022,2.9464285714285716,0.06,37.5,2,2008,14
268,PTICU,0,,,0.0,0.0,0.0,0,,0
269,SCZ,0,,,0.0,0.0,0.0,0,,0
270,WCLD,0,,,0.0,0.0,0.0,0,,0
271,GLHAU,0,,,0.0,0.0,0.0,0,,0
272,VIRT,28,08/28/2015,05/31/2022,2.892857142857143,0.24,0.0,1,2015,7
273,SENEA,0,,,0.0,0.0,0.0,0,,0
274,PFMT,0,,,0.0,0.0,0.0,0,,0
275,SCOB,0,,,0.0,0.0,0.0,0,,0
276,CENQ,0,,,0.0,0.0,0.0,0,,0
277,PZZA,36,09/04/2013,05/13/2022,2.888888888888889,0.35,55.55555555555554,1,2013,9
278,SCLE,0,,,0.0,0.0,0.0,0,,0
279,IBTJ,0,,,0.0,0.0,0.0,0,,0
280,BMBL,0,,,0.0,0.0,0.0,0,,0
281,ALVR,0,,,0.0,0.0,0.0,0,,0
282,HAIAU,0,,,0.0,0.0,0.0,0,,0
283,MDRR,4,10/22/2021,07/15/2022,3.0,0.02,0.0,0,2021,4
284,DCPH,0,,,0.0,0.0,0.0,0,,0
285,MTEM,0,,,0.0,0.0,0.0,0,,0
286,COFS,10,03/12/2020,06/14/2022,2.7,0.25,13.63636363636364,1,2020,2
287,APLD,0,,,0.0,0.0,0.0,0,,0
288,RLAY,0,,,0.0,0.0,0.0,0,,0
289,AIA,0,,,0.0,0.0,0.0,0,,0
290,INFI,0,,,0.0,0.0,0.0,0,,0
291,JG,0,,,0.0,0.0,0.0,0,,0
292,OESX,0,,,0.0,0.0,0.0,0,,0
293,CRBU,0,,,0.0,0.0,0.0,0,,0
294,NNBR,25,08/28/2013,09/06/2019,3.0,0.07,16.666666666666686,0,2013,28
295,LION,0,,,0.0,0.0,0.0,0,,0
296,ILPT,17,04/27/2018,04/22/2022,2.823529411764706,0.33,22.222222222222214,1,2018,4
297,ALCO,43,12/28/2011,06/23/2022,2.9767441860465116,0.5,177.77777777777777,1,2011,34
298,KVSA,0,,,0.0,0.0,0.0,0,,0
299,PINC,8,08/31/2020,05/31/2022,2.625,0.2,5.263157894736835,1,2020,2
300,ABGI,0,,,0.0,0.0,0.0,0,,0
301,LGACU,0,,,0.0,0.0,0.0,0,,0
302,BCOV,0,,,0.0,0.0,0.0,0,,0
303,FCEL,0,,,0.0,0.0,0.0,0,,0
304,EEFT,0,,,0.0,0.0,0.0,0,,0
305,FRPT,0,,,0.0,0.0,0.0,0,,0
306,MCLD,0,,,0.0,0.0,0.0,0,,0
307,PPTA,0,,,0.0,0.0,0.0,0,,0
308,XEL,45,06/21/2011,06/14/2022,3.0,0.4875,7.142857142857139,1,2011,22
309,NYMTN,8,09/30/2020,06/30/2022,3.0,0.5,0.0,1,2020,5
310,PEPLU,0,,,0.0,0.0,0.0,0,,0
311,OHAA,0,,,0.0,0.0,0.0,0,,0
312,VSDA,0,,,0.0,0.0,0.0,0,,0
313,PRPL,0,,,0.0,0.0,0.0,0,,0
314,ADTX,0,,,0.0,0.0,0.0,0,,0
315,SALM,32,06/13/2012,03/23/2020,3.0,0.025,42.85714285714283,1,2012,16
316,OTECU,0,,,0.0,0.0,0.0,0,,0
317,NTRB,0,,,0.0,0.0,0.0,0,,0
318,JANX,0,,,0.0,0.0,0.0,0,,0
319,VCKA,0,,,0.0,0.0,0.0,0,,0
320,KLAC,70,04/28/2005,05/13/2022,2.9285714285714284,1.05,3200.0,2,2005,17
321,DSGR,97,12/27/1988,06/29/2012,2.9072164948453607,0.12,100.0,3,1988,34
322,FELE,116,08/09/1993,05/04/2022,3.0,0.195,60.0,3,1993,34
323,TRVG,0,,,0.0,0.0,0.0,0,,0
324,RADA,0,,,0.0,0.0,0.0,0,,0
325,EPHYU,0,,,0.0,0.0,0.0,0,,0
326,BLUE,0,,,0.0,0.0,0.0,0,,0
327,PABU,0,,,0.0,0.0,0.0,0,,0
328,QUBT,0,,,0.0,0.0,0.0,0,,0
329,AHRN,0,,,0.0,0.0,0.0,0,,0
330,BMRN,0,,,0.0,0.0,0.0,0,,0
331,AXDX,0,,,0.0,0.0,0.0,0,,0
332,SOFI,0,,,0.0,0.0,0.0,0,,0
333,ESMV,0,,,0.0,0.0,0.0,0,,0
334,LESL,0,,,0.0,0.0,0.0,0,,0
335,MEKA,0,,,0.0,0.0,0.0,0,,0
336,RADI,0,,,0.0,0.0,0.0,0,,0
337,LOAN,37,08/13/2013,07/07/2022,2.972972972972973,0.125,250.00000000000006,1,2013,19
338,AUGX,0,,,0.0,0.0,0.0,0,,0
339,SKYX,0,,,0.0,0.0,0.0,0,,0
340,JCICU,0,,,0.0,0.0,0.0,0,,0
341,JCTCF,0,,,0.0,0.0,0.0,0,,0
342,RGLD,74,03/31/2004,06/30/2022,3.0,0.35,36.363636363636374,2,2004,22
343,MKD,0,,,0.0,0.0,0.0,0,,0
344,MSGM,0,,,0.0,0.0,0.0,0,,0
345,RNEM,0,,,0.0,0.0,0.0,0,,0
346,HCTI,0,,,0.0,0.0,0.0,0,,0
347,NYMTL,4,09/30/2021,06/30/2022,2.25,0.4296875,0.0,0,2021,1
348,FGI,0,,,0.0,0.0,0.0,0,,0
349,TYDE,0,,,0.0,0.0,0.0,0,,0
350,GCBC,59,11/13/2007,05/12/2022,3.0,0.13,114.2857142857143,2,2007,22
351,ME,0,,,0.0,0.0,0.0,0,,0
352,LNTH,0,,,0.0,0.0,0.0,0,,0
353,ORIC,0,,,0.0,0.0,0.0,0,,0
354,SCPS,0,,,0.0,0.0,0.0,0,,0
355,DPCSU,0,,,0.0,0.0,0.0,0,,0
356,ROLL,1,05/28/2014,05/28/2014,0.0,2.0,0.0,0,2014,8
357,VSMV,0,,,0.0,0.0,0.0,0,,0
358,GRVY,0,,,0.0,0.0,0.0,0,,0
359,GTX,0,,,0.0,0.0,0.0,0,,0
360,CTXS,13,12/06/2018,12/06/2021,2.769230769230769,0.37,5.714285714285722,1,2018,4
361,SLNO,0,,,0.0,0.0,0.0,0,,0
362,XNET,0,,,0.0,0.0,0.0,0,,0
363,SCKT,0,,,0.0,0.0,0.0,0,,0
364,DISAU,0,,,0.0,0.0,0.0,0,,0
365,LSAK,0,,,0.0,0.0,0.0,0,,0
366,RDIB,0,,,0.0,0.0,0.0,0,,0
367,SNEX,0,,,0.0,0.0,0.0,0,,0
368,NFTY,0,,,0.0,0.0,0.0,0,,0
369,UBFO,21,07/05/2017,07/07/2022,2.9523809523809526,0.11,40.0,1,2017,24
370,VIRC,4,03/22/2018,12/26/2018,3.0,0.015,0.0,0,2018,23
371,INDB,111,12/19/1994,06/24/2022,2.990990990990991,0.51,25.0,3,1994,34
372,IGNY,0,,,0.0,0.0,0.0,0,,0
373,FRSGU,0,,,0.0,0.0,0.0,0,,0
374,MRM,0,,,0.0,0.0,0.0,0,,0
375,SRDX,0,,,0.0,0.0,0.0,0,,0
376,AURCU,0,,,0.0,0.0,0.0,0,,0
377,NVX,0,,,0.0,0.0,0.0,0,,0
378,WHLRD,9,09/28/2016,09/27/2018,2.6666666666666665,0.546875,800.8237232289949,0,2016,6
379,PGC,50,02/02/2010,05/11/2022,3.02,0.05,0.0,1,2010,22
380,FMNB,96,12/09/1998,06/09/2022,2.9375,0.16,100.0,3,1998,24
381,PAVMZ,0,,,0.0,0.0,0.0,0,,0
382,POWL,35,11/18/2013,05/17/2022,2.914285714285714,0.26,4.0,1,2013,9
383,VIOT,1,03/27/2019,03/27/2019,0.0,0.1,0.0,0,2019,3
384,HTLD,76,09/15/2003,06/24/2022,2.960526315789474,0.02,10000.0,2,2003,19
385,SLCR,0,,,0.0,0.0,0.0,0,,0
386,SHBI,27,11/12/2015,05/12/2022,3.0,0.12,66.66666666666669,1,2015,23
387,AXON,0,,,0.0,0.0,0.0,0,,0
388,CBAN,21,05/31/2017,05/05/2022,3.0,0.1075,100.0,1,2017,24
389,STAB,0,,,0.0,0.0,0.0,0,,0
390,BRKHU,0,,,0.0,0.0,0.0,0,,0
391,THAC,0,,,0.0,0.0,0.0,0,,0
392,MRNS,0,,,0.0,0.0,0.0,0,,0
393,EKG,0,,,0.0,0.0,0.0,0,,0
394,QTEK,0,,,0.0,0.0,0.0,0,,0
395,ACBAU,0,,,0.0,0.0,0.0,0,,0
396,PAX,5,06/01/2021,06/01/2022,2.4,0.202,336.7924528301887,0,2021,1
397,GFGF,0,,,0.0,0.0,0.0,0,,0
398,GBBK,0,,,0.0,0.0,0.0,0,,0
399,ABST,7,11/12/2020,05/11/2022,2.5714285714285716,0.06173,10.200000000000003,1,2020,2
400,EGAN,0,,,0.0,0.0,0.0,0,,0
401,NWE,70,03/22/2005,06/14/2022,2.9571428571428573,0.63,24.0,2,2005,17
402,INVO,0,,,0.0,0.0,0.0,0,,0
403,SRAD,0,,,0.0,0.0,0.0,0,,0
404,OPK,0,,,0.0,0.0,0.0,0,,0
405,TCBP,0,,,0.0,0.0,0.0,0,,0
406,GTPA,0,,,0.0,0.0,0.0,0,,0
407,RDFN,0,,,0.0,0.0,0.0,0,,0
408,VRA,0,,,0.0,0.0,0.0,0,,0
409,PRDO,0,,,0.0,0.0,0.0,0,,0
410,PANA,0,,,0.0,0.0,0.0,0,,0
411,INSE,0,,,0.0,0.0,0.0,0,,0
412,PTC,0,,,0.0,0.0,0.0,0,,0
413,SATS,0,,,0.0,0.0,0.0,0,,0
414,IMTX,0,,,0.0,0.0,0.0,0,,0
415,TXG,0,,,0.0,0.0,0.0,0,,0
416,FULT,143,12/27/1988,06/30/2022,2.8111888111888113,0.15,400.0,4,1988,34
417,FTSL,0,,,0.0,0.0,0.0,0,,0
418,PI,0,,,0.0,0.0,0.0,0,,0
419,LINC,17,12/13/2010,12/11/2014,2.823529411764706,0.02,0.0,0,2010,12
420,DCRD,0,,,0.0,0.0,0.0,0,,0
421,IMCC,0,,,0.0,0.0,0.0,0,,0
422,KHC,29,07/23/2015,05/26/2022,2.8275862068965516,0.4,4.545454545454518,1,2015,7
423,BSCE,0,,,0.0,0.0,0.0,0,,0
424,VKTX,0,,,0.0,0.0,0.0,0,,0
425,LECO,87,12/27/2000,06/29/2022,2.9655172413793105,0.56,26.08695652173911,3,2000,27
